"user","session","task","iteration","trigraph_qu!","trigraph_u!f","trigraph_!fa","trigraph_faB","trigraph_aB8","trigraph_B8*","trigraph_8*e","trigraph_*en","mean","standard_deviation","kurtosis","skewness"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","1","5","1145","1222","920","857","1193","1202","968","1577","1135.5","212.80331294413628","2.867294113920911","0.6599932228742841"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","1","6","871","753","503","899","1324","1136","1034","522","880.25","267.68720085203927","1.962178681753841","0.039232618290080096"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","1","7","898","705","450","569","1073","2828","2832","919","1284.25","911.6608127478114","2.2291730130319336","1.0112833332804765"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","1","8","926","1279","2008","1875","1433","3961","3953","984","2052.375","1155.4509874395364","2.0855267612638415","0.8479361495824154"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","1","9","1602","880","552","1069","2000","2259","2438","815","1451.875","674.1560348873248","1.458129979706262","0.1724255640765308"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","0","1","10","1602","880","552","1069","2000","2259","2438","815","1451.875","674.1560348873248","1.458129979706262","0.1724255640765308"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","1","0","1670","1467","792","893","1281","1361","1644","1097","1275.625","305.65010121869744","1.7352382994493911","-0.24459942444218982"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","1","1","1538","1148","817","920","1016","983","1184","725","1041.375","236.52903495131417","2.961497101654362","0.7711206638101133"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","1","2","6270","895","495","874","1343","1013","1284","744","1614.75","1778.1836062398056","5.907679248740259","2.1735844631287486"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","1","3","2075","1337","973","1362","1239","993","1138","597","1214.25","398.8053253154978","3.4620711024614335","0.7534612266902241"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","1","4","1774","792","582","801","997","2309","2533","831","1327.375","715.1407094935932","1.7306288295073267","0.6547008288803612"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","1","5","1172","1234","839","1247","1344","1032","1314","814","1124.5","193.59106384334996","1.7796454598794897","-0.5747357652570542"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","1","6","1672","987","661","1326","1949","1275","1551","691","1264","431.66682754179755","1.8021432566151725","-0.023973773670922457"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","1","7","1002","788","480","552","1101","1632","1901","1324","1097.5","469.89413701385973","1.908266166366394","0.3069453169995038"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","1","8","949","851","449","592","1236","1079","1272","640","883.5","285.44044913081257","1.6208414316231399","-0.05955395303477952"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","1","9","2004","938","530","868","1365","2914","3289","1666","1696.75","925.0809086236727","1.9287751321819437","0.51134654165927"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","1","1","10","2004","938","530","868","1365","2914","3289","1666","1696.75","925.0809086236727","1.9287751321819437","0.51134654165927"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","1","0","1666","1313","789","895","1263","1213","975","710","1103","298.21594524773485","2.19577701482985","0.4260176968621347"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","1","1","2295","1262","994","1176","1060","1408","1490","723","1301","438.572399952391","3.7223977798795707","1.1143626891239995"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","1","2","1583","1000","542","1249","1672","1192","1424","744","1175.75","370.52488108087965","1.9166031930633498","-0.3317365795534286"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","1","3","1146","1145","718","950","1222","1109","1022","626","992.25","201.68338429330265","2.094942286624492","-0.7448978018216269"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","1","4","1694","1396","1015","1257","1145","2176","2370","804","1482.125","520.154649479364","1.9293777021741156","0.5146129011672916"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","1","5","1491","800","585","913","1147","1201","1189","542","983.5","309.4737468671616","1.8457362151107486","-0.007684772959002356"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","1","6","1019","835","450","801","1183","1112","1153","561","889.25","258.29380073861626","1.79553889264103","-0.46448383009207395"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","1","7","1004","636","442","968","1332","1232","1162","549","915.625","312.57796527426564","1.5494121852036906","-0.23634712563692892"
"10f69cd9-1e5d-4e54-93e8-bfbae554d069","2","1","8","799","744","466","1057","1200","1118","915","1585","985.5","315.44294254270454","2.639748003687577","0.26641015888202796"
