"user","session","task","iteration","UD_qu","UD_u!","UD_!f","UD_fa","UD_aB","UD_B8","UD_8*","UD_*e","UD_en","standard_deviation","kurtosis","skewness"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","1","1","6","-118","1190","313","-150","182","1","165","149","-80","385.31519885560675","5.307347411264593","1.8114660621837966"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","1","1","7","-88","183","325","-134","266","11","164","136","-98","158.34631525727258","1.5687989055079827","-0.02502645598956241"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","1","1","8","-93","169","207","-166","43","993","175","179","-90","323.7248870092255","5.1214772095550085","1.6941902610165096"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","2","1","0","-120","302","159","-60","240","13","511","88","-50","192.43988960480908","2.427182678053924","0.6459675439801118"
"183e93f8-2ef0-4250-be77-b2d8a02c1033","2","1","1","-73","156","148","135","194","2440","164","33","-94","747.4404885678973","6.890390608350657","2.3887696252223583"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","0","1","0","-63","320","153","-94","332","5","519","329","-82","213.2968718841314","1.5970783376076703","0.20349482485701298"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","0","1","1","-41","232","185","-84","211","31","253","-11400","-12144","4945.263437789316","2.803006826567887","-1.3389136573878968"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","0","1","2","-64","199","101","-114","407","172","271","171","80","150.92930239349698","2.411400812187764","-0.03466651852475993"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","0","1","3","-65","221","2","-60","224","51","457","-9650","-10088","4156.453254196538","2.7898556858522214","-1.3333884370025335"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","0","1","4","80","530","2","-64","273","49","279","136","-58","182.80226110928348","2.8070181584774563","0.8697365852491207"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","0","1","5","-54","252","11","-76","215","64","308","135","-64","137.55923527657654","1.5617688301134642","0.2566094080406301"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","0","1","6","-77","166","119","-99","218","63","377","-12967","-13596","5570.839808578192","2.7943289581211506","-1.336699709623355"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","0","1","7","-77","166","119","-99","218","63","377","-12967","-13596","5570.839808578192","2.7943289581211506","-1.336699709623355"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","0","1","8","-68","258","143","-66","200","200","246","137","-68","130.2795664411682","1.5000642977988627","-0.45490838537110595"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","0","1","9","-71","168","210","-79","195","57","213","114","102","106.37460014287036","2.0179919307985235","-0.6620515727719316"
"24404d19-ec5c-4c88-a836-0dbbdd7fc2f6","0","1","10","-83","204","2","-95","92","515","720","134","-58","267.3769706695856","2.7295338092211106","1.0277235163029093"
