"user","session","task","iteration","digraph_qu","digraph_u!","digraph_!f","digraph_fa","digraph_aB","digraph_B8","digraph_8*","digraph_*e","digraph_en","mean","standard_deviation","kurtosis","skewness"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","0","1","5","616","678","7485","8393","674","1084","982","721","375","2334.222222222222","3009.6805950051607","2.8472073366610275","1.3397682993766808"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","0","1","6","988","1426","1685","427","674","1084","982","721","375","929.1111111111111","410.4291641263229","2.1612953801392556","0.3797572117314027"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","0","1","7","481","729","706","322","583","852","705","631","374","598.1111111111111","165.3766371007871","1.9665481257128705","-0.3143270358954555"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","0","1","8","683","456","1110","811","768","2156","775","512","292","840.3333333333334","515.8593692944704","4.904919737265696","1.6474467736445457"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","0","1","9","1260","503","726","479","1288","672","676","550","282","715.1111111111111","323.8996567678345","2.3919357084594552","0.7887226977804487"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","0","1","10","1260","503","726","479","1288","672","676","550","282","715.1111111111111","323.8996567678345","2.3919357084594552","0.7887226977804487"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","1","1","0","-9351","-16426","-16308","-16618","-16700","-14593","-14535","-14936","-15117","-14953.777777777777","2148.4851395952746","5.269339295555785","1.7969012040012091"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","1","1","1","675","555","1275","855","687","982","998","635","509","796.7777777777778","235.9871831631624","2.380876639845583","0.6656978249676034"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","1","1","2","1443","2974","930","573","753","799","946","789","469","1075.111111111111","719.582200453761","5.487888298726214","1.9277245614762444"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","1","1","3","770","2525","857","394","614","2257","3072","875","413","1308.5555555555557","959.8480332394188","1.885758509168442","0.7524970002369031"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","1","1","4","589","587","716","399","1132","682","673","630","404","645.7777777777778","202.67093075436227","4.153207256568413","1.14531353514666"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","1","1","5","544","930","886","338","687","687","1026","481","234","645.8888888888889","255.65925432299073","1.8033115768887622","-0.08490926091154091"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","1","1","6","529","793","876","439","528","966","919","533","335","657.5555555555555","218.62911827573356","1.4705885418991749","0.10519052884230978"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","1","1","7","1102","614","1054","736","655","1198","1173","475","263","807.7777777777778","317.3535630028711","1.6921470031032042","-0.21279395458935765"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","1","1","8","465","1519","873","346","688","1192","912","483","291","752.1111111111111","388.4889371925379","2.286128653105689","0.6321021750393082"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","1","1","9","482","699","886","536","711","761","979","562","357","663.6666666666666","187.23484955768487","2.055284404997219","0.0922632234350559"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","1","1","10","482","699","886","536","711","761","979","562","357","663.6666666666666","187.23484955768487","2.055284404997219","0.0922632234350559"
"2e69a799-4e15-43aa-aadb-ef5c0013c6fe","2","1","0","613","569","550","339","328","4229","1149","583","245","956.1111111111111","1183.2983510739466","6.539185417411219","2.2804996011322203"
